gene_id,dataset_count,contrast_count,hit_count,pass_hits,warn_hits,positive_hits,negative_hits,sign_consistency,dataset_sign_consistency,mean_effect,median_effect,mean_abs_effect,max_abs_effect,conserved_response_score,datasets
RTEL1,2,83,83,83,0,13,70,0.8433734939759037,1.0,-0.6260611580438208,-0.7275033691538553,0.8703758152750168,2.6852174270865006,2.8250417028820634,replogle;sciplex3
ALG12,2,51,51,51,0,8,43,0.8431372549019608,1.0,-0.9692371705956347,-0.6801502407704554,1.1824340819635881,3.6473597013462564,3.421553570428323,replogle;sciplex3
TMEM163,2,57,57,34,23,9,48,0.8421052631578947,1.0,-1.698995700827441,-2.247681629574242,1.984065076124194,3.2231461662657064,5.892641509537657,norman;sciplex3
PIK3CD-AS2,2,57,57,57,0,9,48,0.8421052631578947,1.0,-0.9433659092965151,-0.7292209753509786,1.201110409917519,3.520540032477316,3.5672786866667914,replogle;sciplex3
PIGN,2,57,57,55,2,9,48,0.8421052631578947,1.0,-0.5259680520037388,-0.6184698154380852,0.6894699532563809,1.5106169754586465,2.047714722177401,norman;replogle
ZNF414,2,38,38,38,0,6,32,0.8421052631578947,1.0,-0.6345166695856941,-0.6833367045130414,0.9070077469294512,2.216949022743008,2.4304975569487115,replogle;sciplex3
SVEP1,2,19,19,18,1,16,3,0.8421052631578947,1.0,1.648503242498977,2.57934692954419,2.686645169236264,3.8734400387488646,5.886999499590926,norman;sciplex3
HMMR,2,19,19,19,0,3,16,0.8421052631578947,1.0,-1.7737839618093705,-1.176345641737715,1.9200859230755463,4.489265481713852,4.207308429765809,replogle;sciplex3
MAPK3,2,19,19,19,0,3,16,0.8421052631578947,1.0,-1.239779206961614,-0.9405705703983387,1.4017691777453194,3.122459300452362,3.071568416410771,replogle;sciplex3
TMSB10,2,19,19,11,8,16,3,0.8421052631578947,1.0,0.7596054012117355,1.093086343200235,1.1126502999574377,2.294324638660126,2.4380486988280463,norman;replogle
NAGPA,2,44,44,44,0,7,37,0.8409090909090909,1.0,-1.041613214172405,-1.3725607763723864,1.8835425150873428,2.7811614683574315,5.237007003559107,replogle;sciplex3
IBA57,2,75,75,75,0,12,63,0.84,1.0,-1.267625928014901,-0.7773477481756195,1.4373690097212122,3.225668477459651,4.5417509266194855,replogle;sciplex3
HAP1,2,25,25,21,4,21,4,0.84,1.0,1.5632026867634474,1.5452999611648184,1.961529554849214,3.9580827391169553,4.662860229499416,norman;sciplex3
INPP5D,2,25,25,22,3,4,21,0.84,1.0,-1.3686795937861276,-1.3217948912993303,1.8786829442792379,2.8715238351601475,4.465920976343344,adamson;sciplex3
LMBRD2,2,25,25,25,0,4,21,0.84,1.0,-1.4251896403369004,-0.8074902619021078,1.630430655056648,3.6998034298336027,3.875786750001195,replogle;sciplex3
FAM122A,2,56,56,56,0,9,47,0.8392857142857143,1.0,-0.5523610159566962,-0.5964488336181936,1.18597667067904,2.952278381686424,3.49550181880702,replogle;sciplex3
PHF1,2,62,62,62,0,10,52,0.8387096774193549,1.0,-1.0610971941265452,-0.8789310643546318,1.3697583918137572,2.6845331262349,4.13427143554615,replogle;sciplex3
ZBED5,2,31,31,31,0,5,26,0.8387096774193549,1.0,-0.8834453702958248,-0.6398845232398878,1.0950580268654961,3.3072060787135396,2.764767141953978,replogle;sciplex3
STAP1,2,31,31,0,31,26,5,0.8387096774193549,1.0,0.8579962641352362,1.0718884659311243,1.0939304216939683,2.205655762280905,2.7619202008322716,adamson;norman
HES2,2,37,37,33,4,31,6,0.8378378378378378,1.0,1.1693240518828754,1.4178272282885964,1.6908519904332406,2.8026132902966885,4.4760317514915045,norman;sciplex3
ICAM2,2,37,37,37,0,6,31,0.8378378378378378,1.0,-0.8077045860267104,-0.657136997339347,1.0767821762355678,3.2042208224899213,2.8504631023532614,replogle;sciplex3
SP2,2,37,37,37,0,6,31,0.8378378378378378,1.0,-0.629275124229505,-0.5980938094638872,0.8038646702507644,3.5307235700504274,2.1279945307470323,replogle;sciplex3
SIRT6,2,43,43,43,0,7,36,0.8372093023255814,1.0,-0.61142435874829,-0.5838592375463207,1.2543398427273247,3.092461569570703,3.4517271713081614,replogle;sciplex3
GFPT1,2,43,43,33,10,36,7,0.8372093023255814,1.0,0.702984952700923,0.949640300417153,0.8878620205375597,1.4608788254322636,2.4432433350746012,adamson;replogle
WRAP53,2,98,98,98,0,16,82,0.8367346938775511,1.0,-1.1617037700920023,-0.8737274970461204,1.3530782974344095,3.108123558004464,4.518786837863503,replogle;sciplex3
ZNF780A,2,49,49,49,0,8,41,0.8367346938775511,1.0,-0.5547363413816454,-0.7233492125183278,1.2508146764596941,2.7803467802582276,3.5562841333803914,replogle;sciplex3
INSIG2,2,79,79,79,0,13,66,0.8354430379746836,1.0,-1.0870805546322249,-0.725344325158334,1.2489474605157997,3.200279230532151,3.971461286620705,replogle;sciplex3
ARRDC1,2,79,79,79,0,13,66,0.8354430379746836,1.0,-1.0220098931983685,-0.6741585608309515,1.2176983470389515,3.295542438613407,3.8720939006113158,replogle;sciplex3
MYPOP,2,85,85,85,0,14,71,0.8352941176470589,1.0,-0.660282182397804,-0.648571558591881,0.8421595648270347,3.1955112392663896,2.7216494716213586,replogle;sciplex3
RFX5,2,91,91,91,0,15,76,0.8351648351648352,1.0,-1.387914985570966,-0.8807633382889755,1.5590362795943211,3.167728780711223,5.113908826100322,replogle;sciplex3
KIF20A,2,97,97,97,0,16,81,0.8350515463917526,1.0,-0.7823737325736521,-0.7402803712861927,1.3901931211137228,2.8507785824549123,4.6231606646146055,replogle;sciplex3
